-26.0, 16.3, 9.0
-26.0, 12.7, 12.7
-26.0, 9.0, 16.3
-26.0, 5.4, 20.0
-25.9, 1.7, 23.6
-25.9, -2.0, 27.1
-25.9, -5.8, 30.7
-25.8, -9.5, 34.2
-25.8, -13.2, 37.7
-25.7, -17.0, 41.2
-25.6, -20.8, 44.7
-25.6, -24.6, 48.1
-25.5, -28.3, 51.5
-25.4, -32.1, 54.9
-25.3, -35.9, 58.3
-25.2, -39.7, 61.6
-20.8, 63.0, -45.7
-20.9, 59.6, -41.9
-21.0, 56.3, -38.1
-21.1, 52.9, -34.3
-21.2, 49.5, -30.5
-21.3, 46.1, -26.7
-21.3, 42.7, -22.9
-21.4, 39.2, -19.2
-21.4, 35.7, -15.4
-21.5, 32.2, -11.6
-21.5, 28.7, -7.9
-21.6, 25.1, -4.2
-21.6, 21.5, -0.4
-21.6, 17.9, 3.3
-21.6, 14.3, 6.9
-21.6, 10.6, 10.6
-21.6, 6.9, 14.3
-21.6, 3.3, 17.9
-21.6, -0.4, 21.5
-21.6, -4.2, 25.1
-21.5, -7.9, 28.7
-21.5, -11.6, 32.2
-21.4, -15.4, 35.7
-21.4, -19.2, 39.2
-21.3, -22.9, 42.7
-21.3, -26.7, 46.1
-21.2, -30.5, 49.5
-21.1, -34.3, 52.9
-21.0, -38.1, 56.3
-20.9, -41.9, 59.6
-16.6, 61.0, -47.8
-16.7, 57.7, -44.0
-16.8, 54.4, -40.3
-16.9, 51.0, -36.5
-16.9, 47.6, -32.7
-17.0, 44.1, -28.9
-17.0, 40.7, -25.1
-17.1, 37.2, -21.3
-17.1, 33.7, -17.5
-17.2, 30.2, -13.8
-17.2, 26.6, -10.0
-17.2, 23.0, -6.3
-17.2, 19.4, -2.6
-17.2, 15.8, 1.1
-17.3, 12.2, 4.8
-17.3, 8.5, 8.5
-17.3, 4.8, 12.2
-17.2, 1.1, 15.8
-17.2, -2.6, 19.4
-17.2, -6.3, 23.0
-17.2, -10.0, 26.6
-17.2, -13.8, 30.2
-17.1, -17.5, 33.7
-17.1, -21.3, 37.2
-17.0, -25.1, 40.7
-17.0, -28.9, 44.1
-16.9, -32.7, 47.6
-16.9, -36.5, 51.0
-16.8, -40.3, 54.4
-16.7, -44.0, 57.7
-12.5, 59.1, -50.0
-12.5, 55.8, -46.2
-12.6, 52.4, -42.4
-12.6, 49.0, -38.6
-12.7, 45.6, -34.8
-12.7, 42.1, -31.0
-12.8, 38.7, -27.3
-12.8, 35.2, -23.5
-12.8, 31.6, -19.7
-12.8, 28.1, -15.9
-12.9, 24.5, -12.2
-12.9, 20.9, -8.4
-12.9, 17.3, -4.7
-12.9, 13.7, -1.0
-12.9, 10.1, 2.7
-12.9, 6.4, 6.4
-12.9, 2.7, 10.1
-12.9, -1.0, 13.7
-12.9, -4.7, 17.3
-12.9, -8.4, 20.9
-12.9, -12.2, 24.5
-12.8, -15.9, 28.1
-12.8, -19.7, 31.6
-12.8, -23.5, 35.2
-12.8, -27.3, 38.7
-12.7, -31.0, 42.1
-12.7, -34.8, 45.6
-12.6, -38.6, 49.0
-12.6, -42.4, 52.4
-12.5, -46.2, 55.8
-8.3, 57.2, -52.2
-8.3, 53.8, -48.4
-8.4, 50.4, -44.6
-8.4, 47.0, -40.8
-8.4, 43.6, -37.0
-8.5, 40.1, -33.2
-8.5, 36.6, -29.4
-8.5, 33.1, -25.6
-8.5, 29.6, -21.9
-8.5, 26.0, -18.1
-8.6, 22.5, -14.3
-8.6, 18.9, -10.6
-8.6, 15.2, -6.9
-8.6, 11.6, -3.1
-8.6, 7.9, 0.6
-8.6, 4.3, 4.3
-8.6, 0.6, 7.9
-8.6, -3.1, 11.6
-8.6, -6.9, 15.2
-8.6, -10.6, 18.9
-8.6, -14.3, 22.5
-8.5, -18.1, 26.0
-8.5, -21.9, 29.6
-8.5, -25.6, 33.1
-8.5, -29.4, 36.6
-8.5, -33.2, 40.1
-8.4, -37.0, 43.6
-8.4, -40.8, 47.0
-8.4, -44.6, 50.4
-8.3, -48.4, 53.8
-4.1, 55.2, -54.3
-4.2, 51.9, -50.6
-4.2, 48.5, -46.8
-4.2, 45.0, -43.0
-4.2, 41.6, -39.2
-4.2, 38.1, -35.4
-4.2, 34.6, -31.6
-4.2, 31.1, -27.8
-4.3, 27.5, -24.0
-4.3, 24.0, -20.3
-4.3, 20.4, -16.5
-4.3, 16.8, -12.8
-4.3, 13.1, -9.0
-4.3, 9.5, -5.3
-4.3, 5.8, -1.6
-4.3, 2.1, 2.1
-4.3, -1.6, 5.8
-4.3, -5.3, 9.5
-4.3, -9.0, 13.1
-4.3, -12.8, 16.8
-4.3, -16.5, 20.4
-4.3, -20.3, 24.0
-4.3, -24.0, 27.5
-4.2, -27.8, 31.1
-4.2, -31.6, 34.6
-4.2, -35.4, 38.1
-4.2, -39.2, 41.6
-4.2, -43.0, 45.0
-4.2, -46.8, 48.5
-4.2, -50.6, 51.9
0.0, 53.3, -56.5
0.0, 49.9, -52.7
0.0, 46.5, -49.0
0.0, 43.1, -45.2
0.0, 39.6, -41.4
0.0, 36.1, -37.6
0.0, 32.6, -33.8
0.0, 29.0, -30.0
0.0, 25.5, -26.2
0.0, 21.9, -22.4
0.0, 18.3, -18.7
0.0, 14.7, -14.9
0.0, 11.0, -11.2
0.0, 7.4, -7.4
0.0, 3.7, -3.7
0.0, 0.0, 0.0
0.0, -3.7, 3.7
0.0, -7.4, 7.4
0.0, -11.2, 11.0
0.0, -14.9, 14.7
0.0, -18.7, 18.3
0.0, -22.4, 21.9
0.0, -26.2, 25.5
0.0, -30.0, 29.0
0.0, -33.8, 32.6
0.0, -37.6, 36.1
0.0, -41.4, 39.6
0.0, -45.2, 43.1
0.0, -49.0, 46.5
0.0, -52.7, 49.9
4.1, 51.3, -58.7
4.1, 47.9, -54.9
4.2, 44.5, -51.1
4.2, 41.1, -47.4
4.2, 37.6, -43.6
4.2, 34.1, -39.8
4.2, 30.5, -36.0
4.2, 27.0, -32.2
4.2, 23.4, -28.4
4.2, 19.8, -24.6
4.2, 16.2, -20.9
4.2, 12.6, -17.1
4.3, 8.9, -13.3
4.3, 5.3, -9.6
4.3, 1.6, -5.9
4.3, -2.1, -2.1
4.3, -5.9, 1.6
4.3, -9.6, 5.3
4.3, -13.3, 8.9
4.2, -17.1, 12.6
4.2, -20.9, 16.2
4.2, -24.6, 19.8
4.2, -28.4, 23.4
4.2, -32.2, 27.0
4.2, -36.0, 30.5
4.2, -39.8, 34.1
4.2, -43.6, 37.6
4.2, -47.4, 41.1
4.2, -51.1, 44.5
4.1, -54.9, 47.9
8.2, 49.4, -60.9
8.3, 46.0, -57.1
8.3, 42.5, -53.3
8.3, 39.1, -49.6
8.3, 35.6, -45.8
8.4, 32.0, -42.0
8.4, 28.5, -38.2
8.4, 24.9, -34.4
8.4, 21.4, -30.6
8.5, 17.7, -26.8
8.5, 14.1, -23.0
8.5, 10.5, -19.3
8.5, 6.8, -15.5
8.5, 3.1, -11.8
8.5, -0.6, -8.0
8.5, -4.3, -4.3
8.5, -8.0, -0.6
8.5, -11.8, 3.1
8.5, -15.5, 6.8
8.5, -19.3, 10.5
8.5, -23.0, 14.1
8.5, -26.8, 17.7
